City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Olafsvik,IS,2020-07-10 21:47:04,64.89,-23.71,50.95,83,98,11.16
135,Mahebourg,MU,2020-07-10 21:46:52,-20.41,57.7,69.8,64,75,18.34
136,Upernavik,GL,2020-07-10 21:47:04,72.79,-56.15,41.11,84,10,20.89
137,Fonte Boa,BR,2020-07-10 21:47:04,-2.5,-66.27,77.85,93,52,3.38
138,Aklavik,CA,2020-07-10 21:47:04,68.22,-135.01,48.2,81,90,9.17
139,Halifax,CA,2020-07-10 21:42:21,44.65,-63.57,82.0,49,25,1.01
140,Buin,CL,2020-07-10 21:47:04,-33.73,-70.75,57.2,66,90,2.84
141,Whyalla,AU,2020-07-10 21:47:04,-33.03,137.58,44.6,93,74,10.29
142,Te Anau,NZ,2020-07-10 21:44:56,-45.42,167.72,43.57,86,99,7.34
143,Hithadhoo,MV,2020-07-10 21:42:28,-0.6,73.08,83.39,76,97,10.29
144,Atuona,PF,2020-07-10 21:44:01,-9.8,-139.03,79.9,78,98,18.86
145,Cidreira,BR,2020-07-10 21:47:05,-30.18,-50.21,57.83,82,0,13.56
146,Longyearbyen,SJ,2020-07-10 21:47:05,78.22,15.64,46.4,87,75,10.29
147,Conde,BR,2020-07-10 21:47:05,-7.26,-34.91,77.0,88,39,6.93
148,Kyren,RU,2020-07-10 21:44:49,51.68,102.14,58.75,64,32,1.79
149,Hovd,MN,2020-07-10 21:47:06,48.01,91.64,64.87,53,96,4.61
150,Santo Amaro Da Imperatriz,BR,2020-07-10 21:47:06,-27.69,-48.78,62.6,77,0,12.75
151,Escarcega,MX,2020-07-10 21:47:06,18.61,-90.75,88.83,57,85,5.55
152,Fukue,JP,2020-07-10 21:47:06,32.69,128.84,76.57,94,73,7.11
153,Norman Wells,CA,2020-07-10 21:47:06,65.28,-126.83,50.0,93,90,13.87
154,Lebu,CL,2020-07-10 21:42:37,-37.62,-73.65,48.11,72,74,4.32
155,Geraldton,AU,2020-07-10 21:42:26,-28.77,114.6,51.8,53,0,18.34
156,Kapaa,US,2020-07-10 21:46:33,22.08,-159.32,82.99,74,75,12.75
157,Nanortalik,GL,2020-07-10 21:43:33,60.14,-45.24,45.21,93,95,6.06
158,Paragould,US,2020-07-10 21:47:07,36.06,-90.5,93.2,55,1,3.36
159,Mahajanga,MG,2020-07-10 21:47:07,-15.72,46.32,71.6,60,20,11.41
160,Paso De Los Toros,UY,2020-07-10 21:47:07,-32.82,-56.52,55.4,71,75,8.05
