City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
507,Paragominas,BR,79.99,overcast clouds,-2.97,-47.48,
509,Shar,KZ,61.92,clear sky,49.59,81.05,
510,Geraldton,AU,53.6,clear sky,-28.77,114.6,
511,Adjumani,UG,66.15,broken clouds,3.38,31.79,
512,Zychlin,PL,53.6,clear sky,52.24,19.63,
513,Shimoda,JP,63.0,overcast clouds,34.67,138.95,
514,Isangel,VU,73.4,few clouds,-19.55,169.27,
516,Rantauprapat,ID,72.64,overcast clouds,2.1,99.83,
517,Aykhal,RU,53.6,broken clouds,66.0,111.5,
521,Hvide Sande,DK,57.0,broken clouds,56.0,8.13,
524,Rio Grande,BR,53.6,scattered clouds,-32.03,-52.1,
526,Longhua,CN,77.11,broken clouds,23.61,114.19,
529,Colares,PT,77.0,clear sky,38.8,-9.45,Arribas Sintra Hotel
