City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches,Snow Inches
209,Clyde River,CA,70.47,-68.59,44.6,87,90,10.29,overcast clouds,0.0,0
210,Beloha,MG,-25.17,45.05,66.56,77,30,7.85,scattered clouds,0.0,0
211,Alofi,NU,-19.06,-169.92,73.4,88,75,18.34,broken clouds,0.0,0
212,La Ronge,CA,55.1,-105.28,75.2,50,90,12.75,overcast clouds,0.0,0
213,Mangrol,IN,21.12,70.12,83.08,81,67,15.35,light rain,0.16,0
214,Xapuri,BR,-10.65,-68.5,89.94,43,0,1.88,clear sky,0.0,0
215,Caohai,CN,26.87,104.28,57.88,97,100,3.58,moderate rain,1.28,0
216,Nizhniy Ufaley,RU,55.92,59.98,58.26,84,0,0.78,clear sky,0.0,0
217,Harseni,RO,45.75,25.02,57.0,89,100,6.87,overcast clouds,0.0,0
218,Baykit,RU,61.67,96.37,55.17,89,77,1.92,broken clouds,0.0,0
219,Yuanlin,CN,30.42,112.89,70.39,94,100,3.87,overcast clouds,0.0,0
220,Santa Rosa,PH,14.31,121.11,82.0,88,100,1.57,moderate rain,2.7,0
221,Sisimiut,GL,66.94,-53.67,52.92,57,78,14.76,broken clouds,0.0,0
222,Vila Do Maio,CV,15.13,-23.22,78.8,78,75,11.41,broken clouds,0.0,0
223,Anadyr,RU,64.75,177.48,57.2,67,81,6.71,broken clouds,0.0,0
224,Barranca,PE,-10.75,-77.77,64.96,71,18,7.18,few clouds,0.0,0
225,Bam,IR,29.11,58.36,83.61,18,2,8.55,clear sky,0.0,0
226,Khandbari,NP,27.37,87.2,73.72,79,100,0.2,light rain,0.65,0
227,Koutsouras,GR,35.03,25.95,76.87,59,0,13.29,clear sky,0.0,0
228,Coos Bay,US,43.37,-124.22,77.0,68,1,17.22,clear sky,0.0,0
229,Bone,DE,51.97,12.14,63.0,58,33,3.33,scattered clouds,0.0,0
230,Guapore,BR,-28.85,-51.89,64.0,96,45,2.19,light rain,0.21,0
231,Solnechnyy,RU,50.72,136.63,64.76,80,63,1.52,broken clouds,0.0,0
232,Serta,PT,39.81,-8.1,71.01,76,0,4.99,clear sky,0.0,0
233,Awbari,LY,26.59,12.78,84.83,15,0,3.38,clear sky,0.0,0
234,Cherskiy,RU,68.75,161.3,51.89,94,100,3.58,overcast clouds,0.0,0
235,Salalah,OM,17.02,54.09,82.4,88,90,4.7,overcast clouds,0.0,0
236,Axim,GH,4.87,-2.24,74.59,89,45,7.45,scattered clouds,0.0,0
237,Cabedelo,BR,-6.98,-34.83,78.8,74,20,10.29,few clouds,0.0,0
238,Sarakhs,IR,36.54,61.16,81.86,25,71,12.1,broken clouds,0.0,0
239,Georgetown,MY,5.41,100.34,80.6,94,40,3.2,scattered clouds,0.0,0
240,Kununurra,AU,-15.77,128.73,66.2,29,100,6.93,overcast clouds,0.0,0
241,Saint Anthony,US,45.02,-93.22,84.0,39,40,6.93,scattered clouds,0.0,0
242,Neiafu,TO,-18.65,-173.98,75.2,83,75,12.75,light intensity shower rain,0.0,0
243,Nome,US,64.5,-165.41,64.0,77,1,6.93,clear sky,0.0,0
244,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,75.4,79,14,8.46,few clouds,0.0,0
245,Sitka,US,57.05,-135.33,57.2,82,75,4.7,broken clouds,0.0,0
246,Yertarskiy,RU,56.79,64.3,62.85,80,0,5.46,clear sky,0.0,0
247,Balingasay,PH,16.36,119.86,84.25,76,100,9.46,light rain,0.83,0
248,Khilok,RU,51.37,110.47,54.77,92,47,1.34,scattered clouds,0.0,0
249,Srednekolymsk,RU,67.45,153.68,64.96,59,0,5.03,clear sky,0.0,0
250,Avera,US,33.19,-82.53,93.2,41,1,6.93,clear sky,0.0,0
251,Aklavik,CA,68.22,-135.01,53.6,76,75,4.7,broken clouds,0.0,0
252,Okhotsk,RU,59.38,143.3,62.96,63,0,2.89,clear sky,0.0,0
253,Zeya,RU,53.75,127.27,71.96,77,86,1.88,overcast clouds,0.0,0
